,label,score,text
0,anger,0.6996089816093445,Shake e Sunday aguados. Horrível. Não recomendo.
1,joy,0.7262011766433716,Credo!
2,anger,0.6782335042953491,"Desorganizado, pedido veio errado"
3,anger,0.6436164379119873,Atendimento péssimo
4,anger,0.8276362419128418,"Todos atendentes de mal humor e sem educação, na vontade de trabalhar.

Comprei um combo após pagar me avisa que o sabor que quero não tem, lamentável"
5,anger,0.7719621062278748,"Prestem atenção no ROUBO que eles fazem comprando no cartão. Comprei 2 Milk Shake valor de 24,00 e no débito me cobraram 30,00. Bando de safados 😡"
6,anger,0.8386945724487305,"Terrível ! Vou comprar uma promoção, não tem o sanduíche. Vou pagar no cartão, o sistema está com pane. Vou pagar em dinheiro, não tem troco e ainda oferecem mais molho ! MINHA NOSSA ! Que despreparo de uma rede tão grande !"
7,anger,0.6964049339294434,"Não estão preparados para crescer, observem que a fila super cheia e o balcão super vazio, quando comprei meu lanche disse pro operador que queria uma batata também o mesmo me disse que não tinha como eu comprar a batata não pois teria que levar um combo no dobro do valor do meu pedido, fiquei sei entender nada e comprei minha batata em outro local. Atendimento lento e confuso."
8,anger,0.5020657181739807,Bom
9,anger,0.8293048143386841,O preço de um Shopping pro outro é muito diferente.... Ontem comprei no Goiânia Shopping uma batata grande e um ovomaltine médio por R$21... aqui no passeio das águas o mesmo pedido ficou R$29... absurdo a diferença.
10,anger,0.7603735327720642,Olha nunca esperei tanto por um hambúrguer... meu conselho é quem estiver com fome vá no McDonald's...
11,anger,0.5639932155609131,Hambúrguer ruim.
12,anger,0.8232426643371582,"Sempre comprei nesse estabelecimento por achar o milk shake o melhor. Hoje comprei, além da atendente com cara feia, o milk shake veio AGUADO, SEM GOSTO, NEM MISTUROU DIREITO. Quando minha mãe reclamou a G E R E N T E foi super mal educada, dizendo que mesmo que fizessem outro, sairia do mesmo jeito, MESMO eu dizendo que compro sempre la e que nunca veio ruim assim. Perderam uma cliente."
13,anger,0.772014319896698,"Não vale nada, pessimo sanduiches, não vale nem uma estrela"
